;;ICAS Method;;;LRGP Method;;
num;SMILES;Tc[k];Pc[bar];omega[-];Tc[k];Pc[bar];omega[-]
236;CCCCCCCCCCc1ccccc1;748.74;17.84;0.646;755.39;17.64;0.67
237;CCCCC(CN)CC;663.2;26.82;0.51;614.29;26.65;0.59
238;CCCCC(CO)CC;640.83;27.45;0.761;632.38;27.65;0.55
239;NCCCN(CC)CC;666.32;25.61;0.509;637.19;28.42;0.56
240;ClCc(cc1)ccc1C;703.29;34.31;0.35;691.78;32.11;0.37
241;ClCc(cc1)ccc1Cl;726.83;35.84;0.358;726.21;36.66;0.34
242;NCc(cc1)ccc1C;700.97;37.53;0.462;705.18;36.37;0.50
243;Cc1ccc(C#N)cc1;715.7;36.71;0.455;735.65;37.33;0.40
244;Cc1ccc(C=O)cc1;705.72;37.18;0.516;715.52;38.44;0.38
245;Clc1ccc(C=O)cc1;729.03;38.95;0.454;720.06;39.97;0.37
246;CCc(cn1)ccc1C;672.3;35.19;0.385;656.50;35.17;0.36
247;Oc1ccc(N=O)cc1;736.25;56.36;0.652;855.88;53.41;0.71
248;COc(cc1)ccc1C;656.31;35.8;0.387;674.80;35.76;0.38
249;COc(cc1)ccc1N;733.34;41.6;0.523;759.41;40.79;0.48
250;CSc(cc1)ccc1N;776.45;46;0.482;779.64;39.28;0.46
251;OC(=O)C=Cc1c[nH]cn1;707.42;20.82;0.698;861.36;47.25;0.97
252;O=S(c1ccccc1)(=O)S(c1ccccc1)(=O)=O;707.42;20.82;0.698;854.81;37.34;0.57
253;Cc1cc2c(cc1)occ2C;730.63;32.86;0.466;718.34;32.19;0.41
254;CCNC(CC#N)=O;723.59;36.86;0.718;797.91;35.65;0.69
255;CCC(O)(C)CCc1ccccc1;724.67;25.43;0.87;722.21;25.99;0.81
256;C#CC=CC=C;544.05;39.57;0.328;532.36;39.46;0.27
257;c(cc1)ccc1C1=CC=C2c3ccccc3C=C2O1;860.89;24.57;0.717;933.07;23.69;0.71
258;CC(OC1=Cc2ccccc2C1=C1C)=C1C;887.56;25.85;0.673;857.44;27.22;0.55
259;CN1CCCC1=S;618.78;47.2;0.437;669.17;42.75;0.20
260;CCCCCCOC(CCCCCCCCC)=O;748.5;14.85;0.852;721.41;13.66;0.89
261;OC(C)(C)C(C)=C;566.38;35.28;0.69;587.23;36.65;0.44
262;OC(C)C(C)=C;559.5;40.91;0.635;566.07;38.50;0.52
263;CCCCOc1cc2ccccc2cc1;808.2;25.3;0.588;810.98;21.94;0.62
264;CCCCCCCCCCCCC=O;716.98;18.14;0.787;718.81;22.22;0.74
265;CC=CC(Cl)=O;592.37;40.11;0.352;570.91;42.46;0.51
266;FC(F)(F)C(F)(F)OC(F)=C(F)F;511.95;23.72;0.455;415.20;28.22;0.50
267;CCOC(CCCCCOC(C)=O)=O;700.62;21.22;0.799;721.62;22.83;0.66
268;CC(C)COC(CCc1occc1)=O;709.52;23.94;0.681;683.83;24.46;0.67
269;CCc1ccc(CC)cc1;662.08;28.25;0.386;659.41;27.95;0.40
270;C=Cc1ccc(C=C)cc1;690.26;31.04;0.382;692.04;30.76;0.38
271;N#Cc1ccc(C=O)cc1;771.42;37.15;0.62;755.28;35.43;0.55
272;OCC1CCC(CO)CC1;730.97;35.71;0.967;800.90;40.01;0.58
