;;ICAS Method;;;LRGP Method;;
num;SMILES;Tc[k];Pc[bar];omega[-];Tc[k];Pc[bar];omega[-]
1449;FCCN;564.61;54.39;0.354;551.54;53.22;0.45
1450;FC(F)(F)CC(F)(F)C;402.92;29.03;0.301;473.53;33.59;0.26
1451;FC(F)(F)COC(F)(F)C(F)F;498.11;25.63;0.455;453.77;26.42;0.44
1452;FC(F)(F)COC=C;472.46;30.78;0.344;490.52;33.74;0.34
1453;CC(C)(C)NCCNC(C)(C)C;650.94;20.25;0.599;639.52;21.59;0.64
1454;CC(CCc1ccccc1)C=O;709.52;26.87;0.607;715.91;26.23;0.59
1455;NCCNCCNCCNCCNCCN;803.78;19.88;1.184;799.28;20.90;1.37
1456;FC(F)(F)C(OC(C(F)(F)F)=O)=O;547.19;32.06;0.635;569.43;28.20;0.61
1457;FC(F)(F)COC(C(F)(F)F)=O;547.58;23.93;0.502;575.44;26.12;0.58
1458;FC(F)(F)CCC(F)(F)F;422.38;24.37;0.327;531.62;31.37;0.42
1459;FC(F)C(F)(F)C(Cl)Cl;580.69;34.48;0.342;500.14;30.14;0.32
1460;FC(F)C(F)(F)C;420.98;37.65;0.262;403.98;33.51;0.20
1461;FC(F)C(F)(F)C(F)(F)C(F)(F)C;477.46;27.65;0.389;433.57;22.73;0.27
1462;CC(C)(C)c(cc1C(C)(C)C)cc(C(C)(C)C)c1N(=O)=O;840.3;15.63;0.7;733.07;21.02;0.68
1463;Cc1[nH]nnn1;717.78;34.81;0.522;839.10;61.59;0.49
1464;COC(=C(C)OC1C)C1=O;717.78;34.81;0.522;657.13;37.46;0.44
1465;CC(S)C(C)=O;614.24;45.09;0.365;638.10;42.28;0.34
1466;COCC(=O)c1ccccc1;738.91;33.7;0.521;749.75;34.19;0.51
1467;N#Cc1cncnc1;741.58;53.49;0.507;724.48;37.88;0.52
1468;c(nc1)ccc1c(c1nc(C=C1)c(c1cccnc1)c1[nH]c(cc1)c1c2cccnc2)c2[nH]c(cc2)c(c2cccnc2)c2nc1C=C2;786.57;38.1;0.576;1033.45;14.64;1.01
1469;CC1(C)COP(Cl)(OC1)=O;786.57;38.1;0.576;689.21;29.34;0.27
1470;CC(Cl)C(C)=O;588.92;42.02;0.355;569.62;38.25;0.37
1471;CCCCCCCCCCCCC(OO)=O;758.88;18.75;1.098;713.30;21.20;1.13
1472;CCCCCCCC1CC(C)OC1=O;795.72;21.43;0.661;714.75;23.38;0.63
1473;CC(C)c1sccc1;652.31;36.88;0.296;665.86;39.69;0.27
1474;C(CC1)CCN1c1ccccc1;774.64;29.46;0.325;771.31;29.64;0.35
1475;C(CCN1c2ccccc2)C1;758.84;31.88;0.339;758.58;31.27;0.36
1476;O=C1CC=CCC1;714;49.12;0.293;679.16;44.53;0.27
1477;CC1CC(OC1=O)=O;805.93;53.5;0.458;786.11;53.22;0.53
1478;CNCCC(C)C;560.06;31.77;0.473;559.82;30.46;0.48
1479;COC(C)(C(C)(OC)c1ccccc1)c1ccccc1;808.33;18.67;0.686;799.45;22.08;0.68
1480;COC(CCC#N)=O;700.63;33.36;0.571;662.90;33.68;0.55
1481;CC(C)CCCC(C)CC=CC(C)=CC(OCC)=O;764.5;14.53;0.773;734.58;12.97;0.83
1482;CCCCCC(C)(C)CC;605.18;21.68;0.408;607.47;22.47;0.42
1483;CCCSCC;586.87;34.1;0.333;585.93;34.49;0.34
1484;CCCCCCCCCCCCCCC(OCC)=O;760.3;14.18;0.892;751.66;12.24;0.80
1485;CCOC(=O)NN;645.08;48.83;0.649;692.53;49.49;0.61
1486;C#CCCCCCCCC#C;653.9;24.59;0.614;658.27;26.89;0.58
1487;CCCSP(OCC)(Oc1ccc(Br)cc1Cl)=O;862.17;19.33;0.768;844.26;30.67;0.52
1488;CCC1OC(CC)CC1;635.83;28.38;0.32;591.56;29.67;0.41
1489;SCC=O;602.38;59.65;0.331;606.91;57.10;0.37
1490;COc1ccccc1OCC=C;709.19;29.21;0.548;706.20;27.20;0.44
1491;CC1CCCCCC1;610.56;32.2;0.266;618.30;32.58;0.26
1492;CC1CC1(C)C;486.37;34.02;0.181;498.98;35.01;0.19
1493;Cc1nn(C)nn1;809.49;80.71;0.735;652.57;49.84;0.39
1494;CC1=NN=C(c2ccccc2)C(=O)N1N;998.04;41.24;0.902;853.28;32.56;0.72
1495;CCSSC(C)(C)C;697.89;32.99;0.339;668.40;30.70;0.40
1496;NCc1cc(Cl)ccc1;723.22;38.83;0.473;740.97;39.03;0.52
1497;COCCOc1ccccc1;691.94;31.6;0.508;702.48;29.09;0.62
1498;Nc1nc(N)cnc1;806.34;67.49;0.667;802.23;56.82;0.54
1499;CCC=CCCCC=O;641.26;27.29;0.559;645.33;27.92;0.50
1500;Cc1cn(C)c(=O)[nH]c1=O;629.17;41.25;0.749;762.14;43.37;0.45
1501;OC(C)CC(C)=O;629.17;41.25;0.749;648.99;38.58;0.71
1502;COC(OC)C(C)C;565.26;30.64;0.395;544.29;28.73;0.41
1503;CN(C)N(=O)=O;618.67;51.02;0.414;630.04;42.52;0.46
1504;O=N(=O)N1CCOCC1;690.42;51.32;0.896;809.63;37.11;0.59
1505;O=N(=O)N1CCN(CC1)N(=O)=O;746.45;45.53;1.503;749.49;26.67;0.76
1506;CC(=O)OC(=C(C)OC1C)C1=O;778.87;31.96;0.652;714.49;36.68;0.62
1507;OCC(C)Oc1ccccc1;743.59;35.94;0.861;723.51;31.09;0.60
1508;CC1c2ccccc2C(C)CC1;730.71;27.42;0.325;726.48;26.64;0.42
1509;Cc1sc(C)cn1;681.27;47.69;0.324;619.30;47.60;0.32
1510;COc(c1)cc(OC)cc1C;689.7;30.19;0.506;722.84;31.30;0.54
1511;Cc1cccc2c1n1cnnc1s2;1032.25;51.95;0.579;869.07;36.94;0.52
1512;ClC1C=CC=C1;583.71;49.18;0.217;606.11;46.03;0.20
1513;CCC(O)C#C;574.82;46.41;0.696;567.75;41.09;0.57
1514;OC(C#C)c1ccccc1;694.08;41.14;0.78;723.72;37.64;0.52
1515;CC(C)(C)C(O)(C(C)(C)C)C(C)(C)C;681.37;18.71;0.836;660.41;25.49;0.49
1516;N#CN;590.97;61.75;0.397;531.70;76.71;0.34
1517;OC#N;599.38;67.07;0.697;432.87;73.57;0.47
1518;S1CC1;516.05;64.88;0.166;547.29;67.87;0.16
1519;FC(F)(C)Br;453.53;53.73;0.25;455.44;46.95;0.15
1520;FC(C)(C)Cl;483.87;41.65;0.187;491.35;37.84;0.20
1521;FC(F)(C)C;340.25;42.8;0.187;474.70;37.42;0.26
1522;FC(F)(F)C;291.29;38.2;0.183;346.06;37.51;0.26
1523;FC(F)(Br)C=C;493.09;49.44;0.273;413.88;31.23;0.28
1524;FCC(F)(F)Br;499.6;50.77;0.305;450.50;42.77;0.23
1525;ClCC(F)(C)Cl;586.08;40.48;0.239;554.64;33.96;0.31
1526;ClCC(F)(F)C;504.48;41.58;0.239;532.49;34.34;0.33
1527;CCC(O)C(O)C;673.49;45.65;0.995;653.62;43.49;0.74
1528;FC(F)(F)C(C(F)(F)F)OC(C(F)(F)F)=O;572.4;17.96;0.593;640.02;27.13;0.67
1529;Clc1cccc(Cl)c1NC1=NCCN1;960.94;39.96;0.786;856.23;31.70;0.67
1530;OP(O)C;613.01;67.91;1.03;645.79;52.01;0.48
1531;C=CCOC(=O)c1occc1;683.63;35.08;0.54;687.80;35.99;0.55
1532;CCCC(=O)c1occc1;677.56;35.27;0.542;673.01;35.67;0.51
1533;OC(C)c1occc1;652.68;48.3;0.757;632.26;44.91;0.52
1534;CCCC(O)C(C)(C)C;620.88;27.77;0.72;611.97;29.46;0.55
1535;CCC(F)(F)Cl;419.76;35.91;0.238;414.84;31.98;0.28
1536;FCC(F)(F)Cl;428.42;39.03;0.279;421.19;42.44;0.31
1537;BrCC(F)(F)F;469.29;40.73;0.219;482.40;43.00;0.33
1538;CCC(F)(F)F;365.45;33.76;0.224;432.30;33.01;0.29
1539;COC(F)(F)F;381.81;37.67;0.249;394.65;38.11;0.32
1540;COS(F)(=O)=O;699.29;73.84;0.602;552.48;45.58;0.40
1541;FC(F)(F)C(C)=O;492.51;36.54;0.344;428.87;35.36;0.34
1542;FC(F)(F)C(F)(C)Cl;484.52;31.65;0.255;406.20;32.69;0.31
1543;FC(F)(C)C(F)(F)Cl;401.01;34.33;0.255;381.67;29.95;0.22
1544;ClCC(F)(F)C(F)(Cl)Cl;579.86;34.6;0.31;518.25;26.62;0.23
1545;CC(C)(C)C(C#N)C#N;711.31;26.68;0.551;681.24;24.04;0.52
1546;Nc1ccc(cn1)N(=O)=O;805.26;49.79;0.691;872.02;42.57;0.68
1547;CCc1ccc(C(C)C)cc1;674.39;26.13;0.409;661.54;25.89;0.41
1548;ClCC(F)(F)C(F)(F)Cl;536.34;33.5;0.309;450.67;27.38;0.23
1549;BrCC(F)(F)C(F)(F)F;493.89;34.21;0.368;464.57;33.63;0.32
1550;ClCC(F)(F)C(F)(F)F;505.09;31.61;0.309;422.08;28.89;0.32
1551;OCC(F)(F)C(F)(F)F;512.65;35.43;0.705;515.94;36.11;0.47
1552;FC(F)(F)C(F)(F)C=O;462.38;33.07;0.399;392.18;36.17;0.44
1553;FC(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl;720.14;33.53;0.336;680.02;26.69;0.31
1554;ClC(Cl)C(Cl)(Cl)C(F)(F)Cl;663.03;33.22;0.335;634.83;26.10;0.34
1555;ClC(Cl)C(Cl)(Cl)C(F)(F)F;606;32.92;0.335;569.13;31.77;0.39
1556;FC(F)C(F)(Cl)C(F)(F)Cl;559.34;30.16;0.334;487.30;29.77;0.30
1557;FC(Cl)C(F)(Cl)C(F)(F)F;492.17;32.32;0.334;475.40;29.60;0.28
1558;ClC(Cl)C(F)(F)C(Cl)(Cl)Cl;662.61;32.95;0.335;608.68;30.28;0.27
1559;FC(Cl)C(F)(F)C(Cl)(Cl)Cl;606;32.92;0.335;574.40;30.15;0.24
1560;FC(F)C(F)(F)C(Cl)(Cl)Cl;597.2;32.06;0.334;503.75;30.34;0.30
1561;ClC(Cl)C(F)(F)C(F)(Cl)Cl;608.85;32.62;0.335;570.36;27.15;0.24
1562;FC(Cl)C(F)(F)C(F)(Cl)Cl;549.04;32.62;0.334;534.73;28.36;0.25
1563;ClC(Cl)C(F)(F)C(F)(F)Cl;570.9;31.63;0.334;505.39;27.46;0.27
1564;FC(F)C(F)(F)C(F)(F)Cl;465.42;30.8;0.333;438.49;28.35;0.32
1565;ClC(Cl)C(F)(F)C(F)(F)F;544.25;29.92;0.334;460.16;27.68;0.36
1566;FC(Cl)C(F)(F)C(F)(F)F;435.37;32.03;0.333;419.11;29.39;0.31
1567;FC(F)(F)C(F)(F)C(O)=O;584.13;32.85;0.624;604.92;41.93;0.64
1568;FC(F)(F)C(F)(Br)C(F)(F)F;537.35;32.4;0.385;460.55;28.27;0.42
1569;FC(Cl)(Cl)C(Cl)(Cl)C(Cl)(Cl)Cl;770.88;32.54;0.329;705.98;23.74;0.25
1570;FC(F)(F)C(F)(F)C(F)(F)Br;480.44;32.76;0.385;426.92;27.88;0.32
1571;FC(F)(F)C(F)(F)C(F)(F)Cl;401.95;27.07;0.325;394.62;25.26;0.33
1572;OC(CNC(C)(C)C)COc1cccc(CC2O)c1CC2O;860.02;18.75;1.702;898.12;21.08;0.90
1573;CCc1cccc(CC)c1CC;704.7;24.05;0.472;683.60;23.83;0.51
1574;N#CC(c(c1F)c(F)c(F)cc1F)c(c(F)c1F)c(F)c(F)c1F;791.06;17.74;1.072;700.03;18.33;0.65
1575;CCCc1occc1;597.44;35.96;0.364;569.56;36.92;0.30
1576;FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I;591.58;28.95;0.378;522.67;28.92;0.37
1577;FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br;579.51;18.2;0.691;539.26;12.80;0.56
1578;CCC1=C(O)C(CC1C)=O;704.52;31.84;0.714;722.81;37.84;0.65
1579;C(c1ccccc1)n1ccnc1;884.79;42.26;0.567;795.29;37.85;0.50
1580;CCCCCCCCCCCCCCCCCC=CC;769.77;12.67;0.874;771.06;12.30;0.89
1581;CC(C)(C)OC(=O)N;789.88;39.68;0.474;651.27;37.81;0.51
1582;FC(F)(C(F)(F)c1ccccc1)c1ccccc1;820.11;20.53;0.508;600.25;18.32;0.50
1583;COC(F)(F)C(F)F;476.88;37.13;0.332;413.93;30.68;0.35
1584;FC(F)C(F)(Cl)C(F)Cl;498.16;33.61;0.342;530.81;32.77;0.26
1585;CC(C)SSC(C)C;695.84;32.88;0.372;679.33;30.77;0.48
1586;CCCS(CCC)=O;776.47;32.31;0.38;692.05;30.72;0.42
1587;CC1CCCC1(C)C;573.77;28.96;0.261;577.88;29.41;0.25
1588;FC(F)(F)C(F)(F)C(Cl)(Cl)Cl;563.46;28.05;0.326;485.71;30.44;0.35
1589;CCOC(C(F)(F)C(F)(F)F)=O;555.68;26.6;0.492;498.64;28.02;0.55
1590;Cc1oc2ccccc2c1;716.18;37.11;0.417;701.00;36.75;0.39
1591;CCC(C)(Cl)Cl;557.27;36.42;0.232;590.18;37.14;0.31
1592;CC(CCC1C(O)(C)C)CC1O;741.26;29.16;1.039;713.17;27.79;0.99
1593;CCCC(C)(C)Br;583.15;33.2;0.272;618.45;36.92;0.23
1594;N#Cc1ccncn1;741.58;53.49;0.507;706.16;46.67;0.45
1595;CC(=C)c(cc1)ccc1O;737.69;38.78;0.506;742.75;39.42;0.52
1596;CCCCCC1=CCCC1;628.84;25.57;0.454;656.30;26.45;0.44
1597;CSCCCC=O;652.04;37.6;0.475;657.15;35.63;0.48
1598;CCCCCC1CCCCC1;668.01;23.27;0.361;676.07;23.79;0.43
1599;FCC(C)=O;539.06;46.33;0.356;459.11;42.41;0.32
1600;FCC(Cl)Cl;558.93;44.78;0.329;513.18;40.51;0.34
1601;ClCC(F)Cl;494.73;43.23;0.255;509.52;41.69;0.24
1602;CCC(F)F;438.23;39.52;0.314;425.04;34.79;0.26
1603;FCC(F)F;446.24;43.24;0.356;429.82;52.45;0.33
1604;FC(F)C=O;490.14;46.8;0.468;423.64;56.92;0.42
1605;CCC(F)=O;491.13;45.41;0.349;489.24;40.09;0.30
1606;FC(C)=C(Cl)Cl;601.44;40.75;0.247;499.87;35.88;0.45
1607;CCC(=O)c1sccn1;758.27;46.53;0.502;727.19;43.07;0.52
1608;CC1(C)CCC=C(C)C1C(=O)C=CC;717.95;20.73;0.527;739.82;21.97;0.56
1609;CC(=O)C(C)=O;610.44;45.31;0.545;565.88;46.22;0.38
1610;FC(Cl)C(F)Cl;487.57;41.2;0.278;499.35;39.08;0.21
1611;FC(F)C(F)Cl;428.68;40.78;0.278;459.40;43.80;0.27
1612;FC(F)(F)C(Cl)=CCl;581.06;32.78;0.288;479.29;33.35;0.29
1613;FCC(F)C(F)(F)F;473.86;30.75;0.374;420.00;33.95;0.35
1614;COC(C(F)(F)F)=O;505.16;33.78;0.377;480.44;38.04;0.45
1615;FC(F)C(F)C(F)(F)F;481.26;28.85;0.44;412.33;33.36;0.37
1616;FC(F)C(C(F)(F)F)=O;482.09;32.52;0.438;419.03;33.20;0.45
1617;FC(F)(F)C(Cl)C(F)(F)Cl;513.38;27.65;0.334;495.42;36.32;0.33
1618;FC(F)(F)C(Cl)C(F)(F)F;478.61;26.32;0.333;446.36;34.71;0.34
1619;FC(F)(F)C(F)C(F)(F)F;422.56;25.53;0.349;375.21;29.55;0.36
1620;ONC=O;789.07;96.58;0.889;720.22;82.83;0.81
1621;CCCCCC(=O)C=C;621.44;27.9;0.471;624.42;26.19;0.42
1622;CCC=CC=CC=O;626.71;31.65;0.512;621.09;31.45;0.54
1623;CCCCn1ccnc1;824.89;45.92;0.6;678.19;42.75;0.44
1624;Nc1ccc(N)cn1;791.28;58.41;0.604;809.86;53.31;0.56
1625;NN1CCOCC1;685.68;51.92;0.481;692.51;49.64;0.48
1626;COC(=O)Nc(nc1cc2)[nH]c1cc2Sc1ccccc1;685.32;27.5;0.507;987.69;30.43;0.97
1627;CC1(CC=C(C)CC1)C(C)=O;685.32;27.5;0.507;688.98;28.35;0.37
1628;ClCCS;610.02;51.81;0.24;634.15;51.42;0.27
1629;COC(=O)CNC(CNC(C(F)(F)F)=O)=O;801.86;29.25;1.206;679.55;28.67;0.66
1630;BrC1CC1;517.37;60.93;0.15;541.77;56.59;0.21
1631;FC(F)(F)c(c(F)c1F)c(F)c(F)c1F;560.63;25.46;0.489;561.15;29.18;0.44
1632;Fc1c(F)c(F)c(c(F)c1F)c(c(F)c1F)c(F)c(F)c1F;792.19;24.09;0.733;663.72;24.81;0.57
1633;CCOC(=O)C#CC;612.81;35.6;0.357;571.14;34.19;0.46
1634;O=C1OC2CCC1CC2;754.31;44.48;0.408;777.09;44.41;0.33
1635;CCCCCCCC1OCCO1;698.16;23.76;0.589;644.78;25.61;0.75
1636;CC(C)c1cc(O)ccc1C;740.69;33.47;0.551;739.24;35.67;0.61
1637;CC(C)c(cccc1O)c1C;749.15;35.24;0.551;726.84;35.78;0.58
1638;CC(I)=C;594.88;54.13;0.171;576.77;50.86;0.15
1639;C3(CCCc1ccc(CCCCCCc(cc2)ccc2CC3)cc1);919.37;17.34;0.815;895.51;16.25;0.69
1640;Clc(ccc1N2C)cc1C(c1ccccc1)=NCC2=O;970.23;25.48;0.757;913.38;23.15;0.66
1641;CC(C)(C)CC(C)CC(C)(C)CC(C)(C)C;693.72;15.23;0.542;692.04;17.62;0.55
1642;FC(F)(F)c1cc(Nc2ncccc2C(O)=O)ccc1;905.88;25.18;1.189;768.24;27.28;0.76
1643;O=CN1CCOCC1;697.97;46.46;0.49;733.19;45.48;0.36
1644;Nc1ccc(Nc2ccccc2)c2c1C(=O)c1ccccc1C2=O;1022.45;25.37;1.292;993.49;27.24;0.86
1645;CC(C)c1ccc(CC=O)cc1;717.79;27.55;0.606;732.88;26.09;0.67
1646;Cc1cn(C)c(=O)n(C)c1=O;870.03;39.89;0.768;671.52;41.54;0.37
1647;OCC=Cc1ccccc1;727.57;36.66;0.738;732.17;32.24;0.60
1648;SCCc1ccccc1;701.79;36.62;0.36;743.50;35.51;0.40
1649;OCc1cocc1;632;53.5;0.743;661.28;53.63;0.73
1650;COc1cc2nonc2cc1;846.21;33.18;0.662;820.25;37.50;0.65
1651;NC1NNNN1;776.84;101.18;0.664;847.79;74.64;0.78
1652;N#CC1CCC1;624.42;40.35;0.349;649.41;41.51;0.33
1653;CC(CCCC(C)=O)CCC=C(C)C;715.21;18.28;0.709;704.67;18.96;0.64
1654;CCB(O)O;824.34;14.65;1.264;661.55;48.80;0.43
1655;COCCOCCOCCOCCOCCOCCOCCO;824.34;14.65;1.264;864.41;15.25;1.08
1656;S(SCc1occc1)Cc1occc1;791.31;32.19;0.676;781.17;34.13;0.68
1657;O(Cc1occc1)Cc1occc1;708.51;31.92;0.608;691.58;35.17;0.70
1658;CCC(=O)C(CC)=O;625.17;35.05;0.494;639.24;34.28;0.47
1659;CCC1OC(OC1)=O;740.32;45.36;0.437;690.95;44.14;0.50
1660;OC(C1CSCN1)=O;794.02;54.14;0.708;840.46;48.88;0.75
1661;FC(F)(F)c1ccccc1O;704.37;38.03;0.499;588.27;36.90;0.43
1662;O=P(N1CCCCC1)(N1CCCCC1)N1CCCCC1;653.01;13.24;0.745;900.65;22.36;0.41
1663;OCCC1CCCCC1;678.12;33.86;0.636;682.20;34.41;0.58
1664;CCCCCCCCCCCCCCCCCCc1ccccc1;829.56;12.27;0.971;833.70;11.75;0.95
1665;Fc1ccccc1C(=O)N;818.75;45.92;0.609;756.41;41.31;0.54
1666;OC(=O)c1ccccc1F;742.65;40.71;0.701;702.52;39.96;0.62
1667;FC(F)(F)c(cc1N(=O)=O)cc(c1N)N(=O)=O;864.75;28.05;1.061;764.31;33.66;0.95
1668;COC1OC=CCC1;621.34;40.64;0.317;599.20;39.43;0.37
1669;CCCCCCC1CCCC1;660.84;22.76;0.418;666.07;23.66;0.55
1670;CCCN(CC)CC;563.09;24.41;0.36;560.15;26.91;0.43
1671;Cc(ccc1N(=O)=O)cc1F;728.31;35.43;0.551;666.03;28.85;0.45
1672;Fc(ccc1N(=O)=O)cc1F;708.53;37.75;0.562;676.42;36.96;0.43
1673;Fc(ccc1N(=O)=O)cc1O;780.34;47.83;0.76;746.60;42.28;0.60
1674;OCc1ccccc1F;647.91;41.32;0.693;671.53;40.59;0.61
1675;Fc1ccccc1C=O;679;39.69;0.495;648.47;39.01;0.41
1676;CCC=CCl;538.37;39.37;0.236;540.97;41.08;0.27
1677;CCCCc1occc1;619.6;31.97;0.412;593.79;32.04;0.38
1678;C1C=Cc2ccccc2C1;706.53;36.7;0.284;716.70;36.43;0.39
1679;FC(F)(F)c1ccccc1C#N;715.79;29.45;0.531;603.11;25.29;0.39
1680;CCCCCC(CCC)=O;639.4;24.31;0.525;643.78;24.68;0.50
1681;CCCC(C)=CCC;571.73;25.45;0.402;573.73;25.63;0.35
1682;O=C(Cc1ccccc1)c1ccccc1;806.54;28.51;0.605;826.87;27.04;0.62
1683;CCOC(=O)c(cc1)ccc1F;687.81;30.09;0.547;682.19;24.62;0.70
1684;CCOc1ccccc1F;642.71;33.72;0.429;605.02;27.86;0.35
1685;OC(=O)Cc1ccccc1F;763.73;36.83;0.734;749.17;34.20;0.70
1686;N#Cc1[nH]ccc1;573.77;28.96;0.261;732.69;50.18;0.44
1687;CC(CC1)CC1(C)C;573.77;28.96;0.261;569.40;29.38;0.21
1688;Fc(ccc1F)cc1C;588.65;36.84;0.333;580.81;33.83;0.31
1689;Fc(ccc1N)cc1C;708.57;40.06;0.491;715.21;42.83;0.43
1690;Fc(ccc1C)cc1F;588.65;36.84;0.333;593.05;31.88;0.33
1691;Cc(ccc1O)cc1O;773.39;61.37;0.613;756.87;58.37;0.76
1692;FCC(O)CF;570.21;46.18;0.727;578.03;39.80;0.65
1693;FCC(OC)=O;497.84;42;0.385;476.35;40.86;0.40
1694;OC1CCOC1;635.33;53.48;0.611;657.46;56.11;0.52
1695;FC(F)(F)N=C(C(F)(F)F)C(F)(F)F;493.99;23.8;0.449;465.24;29.66;0.47
1696;CCCCC(C)C(O)=O;668;28.46;0.744;667.66;31.00;0.71
1697;O=C=NCCCCN=C=O;659.16;36.91;0.67;724.23;29.71;0.43
1698;CCOC(C(F)F)=O;523.83;34.51;0.435;485.83;33.22;0.48
1699;COBOC;598.6;29.71;0.558;485.50;35.78;0.13
1700;CNCCCN(C)C;598.6;29.71;0.558;610.93;30.69;0.50
1701;CN(N=O)C=C;510.85;45.41;0.404;673.60;40.81;0.38
1702;C=CCN(C)N=O;533.73;40.06;0.453;683.77;36.23;0.39
1703;CC=C(C)C=C;525.03;33.06;0.318;519.68;34.54;0.29
1704;FC(F)(F)c(cc1)ccc1N;713.72;33.46;0.515;662.14;31.20;0.40
1705;FC(F)(F)c1ccc(C#N)cc1;715.79;29.45;0.531;608.12;30.76;0.45
1706;FC(F)(F)c1ccc(C(O)=O)cc1;763.29;30.36;0.775;682.24;30.65;0.62
1707;FC(=O)c1ccccc1;698.97;41.27;0.424;619.30;35.32;0.37
1708;CC(=O)c(ccc1)cc1F;702.31;35.68;0.511;668.60;34.61;0.43
1709;OC(=O)c(ccc1)cc1F;744.94;40.2;0.701;738.41;40.81;0.68
1710;O=C(c1[nH]ccc1)N;739.63;29.38;0.605;834.57;58.07;0.67
1711;CC(CCC#N)C#N;739.63;29.38;0.605;742.68;28.81;0.65
1712;Fc1ccc(cc1)C(=O)NO;787.78;47.5;1.13;810.91;39.01;0.86
1713;OC(=O)c(cc1)ccc1F;746.32;40.73;0.701;839.09;40.32;0.65
1714;OCc(ccc1)cc1F;651.35;40.79;0.693;668.73;41.37;0.62
1715;Fc1cc(C=O)ccc1;682.01;39.2;0.495;644.37;38.99;0.42
1716;COc(ccc1)cc1F;626.58;37.69;0.366;620.88;34.06;0.40
1717;FC(F)(F)Oc1ccccc1;635.29;31.24;0.391;573.69;33.97;0.31
1718;O=C1C=CNC=N1;743.5;65.99;0.426;811.68;60.13;0.43
1719;C1Sc2ccccc2C1;759.65;39.83;0.35;759.97;37.08;0.33
1720;Nc1occn1;684.47;70.97;0.444;751.92;61.62;0.46
1721;CCOc(ccc1)cc1F;646.23;33.35;0.429;631.91;26.73;0.44
1722;CCCC1CCCCN1;685.67;31.02;0.311;642.34;30.54;0.39
1723;CC1(OC1)C(C)=O;625.17;42.82;0.431;615.74;41.40;0.30
1724;CCCCCCC(C)=C;592.14;23.97;0.402;592.54;23.78;0.41
1725;N#CCc(cc1)ccc1F;728.02;32.51;0.515;679.25;27.44;0.49
1726;CCOc(cc1)ccc1F;648.33;33.74;0.429;616.92;28.96;0.49
1727;OCc(cc1)ccc1F;653.41;41.34;0.693;722.35;40.17;0.66
1728;Fc1ccc(C=O)cc1;683.82;39.72;0.495;739.15;36.32;0.40
1729;COc(cc1)ccc1F;628.87;38.17;0.366;636.12;33.43;0.34
1730;CCOC(CF)=O;531.12;36.79;0.429;497.66;33.55;0.40
1731;CCOC(CN)=O;641.02;42.42;0.529;656.06;45.16;0.49
1732;Brc1cncnc1;722.13;61.43;0.415;665.03;52.86;0.50
1733;CNc1ccccn1;707.98;47.75;0.443;716.90;48.27;0.47
1734;C#CC#C;468.36;59.25;0.31;500.11;52.79;0.00
1735;FCCC;429.29;42.95;0.249;434.27;40.78;0.25
1736;N#CC#N;645.09;46.2;0.437;405.64;59.26;0.28
1737;BrCCC(F)(F)F;506.61;35.78;0.262;521.87;40.23;0.42
1738;ClCCC(F)(F)F;517.22;32.96;0.304;477.92;34.44;0.38
1739;FCCC(F)(F)F;430.12;32.44;0.309;434.66;36.05;0.31
1740;FC(F)(F)CC=O;505.7;36.4;0.421;454.65;43.28;0.44
1741;COCC(F)(F)F;434.45;33.34;0.292;458.97;35.48;0.27
1742;ClC(Cl)CC(F)(F)F;554.53;31.15;0.348;509.91;35.55;0.44
1743;FC(F)CC(F)(F)F;439.03;30.34;0.374;426.19;36.42;0.38
1744;FC(F)(F)CC(F)(F)Br;493.89;34.21;0.368;498.03;40.86;0.52
1745;FC(F)(Cl)CC(Cl)(Cl)Cl;596.63;30.75;0.332;595.10;33.08;0.39
1746;OCC=C(C)CCC=C(C)CCC=C(C)C;759.08;16.5;1.116;741.29;16.13;0.83
1747;CCOC(C1CC1)=O;587.41;36.3;0.412;632.14;35.33;0.47
1748;OCCCC(F)(F)F;554.29;32.88;0.671;528.83;30.71;0.46
1749;BrCCC(F)F;548.94;42.2;0.352;541.83;41.37;0.33
1750;COCC(F)F;490.53;38.95;0.382;465.55;38.25;0.37
1751;N#CNC(=N)N;811.39;90.37;0.761;825.41;53.41;0.70
1752;O=C1NC(=O)NC1;847.79;86.98;0.56;935.05;74.91;0.61
1753;O=c1[nH]c([nH]nc1)=O;765.21;46.69;0.566;857.56;59.54;0.50
1754;Cc1nc(C)cc(N)n1;765.21;46.69;0.566;750.98;44.31;0.51
1755;Nc1cccnc1;725.29;52.23;0.414;718.32;57.61;0.46
1756;CCCCCCC(CCCCCC)=O;706.33;18.06;0.695;706.64;17.59;0.71
1757;FCCCCl;552.52;41.72;0.33;524.34;39.68;0.27
1758;FCCCF;479.94;40.92;0.334;483.21;42.72;0.38
1759;FCCCN;589.98;46.41;0.398;567.15;44.22;0.48
1760;FCCCO;558.7;48.15;0.654;572.46;47.67;0.62
1761;FCOCF;437.66;43.95;0.378;465.05;51.60;0.39
1762;FCCCCCl;579.18;36.57;0.373;518.35;28.21;0.33
1763;NCCCCCN;641.53;37.12;0.548;647.49;38.85;0.59
1764;CCOCOCC;524.86;32.1;0.425;528.97;32.69;0.44
